rank,symbol,name,sector,price,chg,chg_pct,high_52w,low_52w,volume,weight,market_cap_cr,market_cap_raw
176,AHTM,Ahmad Hassan Textile Mills Limited,TEXTILE COMPOSITE,73.17,0.0,0%,134.15,48.6,454,0.0,61.99,61.99 Cr
177,SHCM,Shadman Cotton Mills Limited,TEXTILE SPINNING,35.06,-3.02,-7.93%,96.58,26.04,1.62 K,0.0,61.83,61.83 Cr
178,GOC,GOC (Pak) Limited.,MISCELLANEOUS,79.0,0.0,0%,171.95,55.0,34,0.0,58.06,58.06 Cr
179,FIMM,First Imrooz Modaraba,MODARABAS,192.66,0.0,0%,397.69,164.0,1,0.01,57.8,57.8 Cr
180,LPGL,Leiner Pak Gelatine Limited,CHEMICAL,75.79,2.01,2.72%,167.86,63.01,789,0.0,56.84,56.84 Cr
181,IDRT,Idrees Textile Mills Limited,TEXTILE SPINNING,27.86,1.23,4.62%,42.0,15.24,3.64 K,0.0,55.31,55.31 Cr
182,FTSM,First Tri-Star Modaraba,MODARABAS,25.37,-2.82,-10%,57.0,10.51,93.04 K,0.01,53.69,53.69 Cr
183,JDMT,Janana De Malucho Textile Mills Limited,TEXTILE SPINNING,77.26,5.55,7.74%,175.0,46.0,1.31 Lac,0.0,53.43,53.43 Cr
184,DADX,Dadex Eternit Limited,ENGINEERING,46.5,0.0,0%,83.9,42.75,118,0.0,50.05,50.05 Cr
185,BPL,Burshane LPG (Pakistan) Limited,OIL & GAS MARKETING COMPANIES,21.76,-0.82,-3.63%,42.25,20.01,9.05 K,0.0,48.94,48.94 Cr
186,MSCL,Metropolitan Steel Corporation Limited,ENGINEERING,15.58,-0.65,-4.01%,23.15,7.02,56.3 K,0.0,48.26,48.26 Cr
187,SEL,Sitara Energy Limited,POWER GENERATION & DISTRIBUTION,25.24,0.75,3.06%,45.56,9.3,721,0.01,48.19,48.19 Cr
188,FEM,First Equity Modaraba,MODARABAS,8.0,0.0,0%,17.7,2.32,21.4 K,0.01,41.95,41.95 Cr
189,ARCTM,Arctic Textile Mills Limited,TEXTILE SPINNING,31.33,1.19,3.95%,46.8,17.1,3.15 K,0.0,41.28,41.28 Cr
190,OBOY,Oilboy Energy Limited,OIL & GAS MARKETING COMPANIES,8.11,-0.09,-1.10%,15.96,7.1,3.56 Lac,0.01,40.55,40.55 Cr
191,SGPL,S.G. Power Limited,POWER GENERATION & DISTRIBUTION,22.34,1.55,7.46%,40.0,6.45,9.62 Lac,0.01,39.84,39.84 Cr
192,HAFL,Hafiz Limited,TEXTILE COMPOSITE,330.25,3.72,1.14%,629.5,250.0,55,0.0,39.63,39.63 Cr
193,MQTM,Maqbool Textile Mills Limited,TEXTILE SPINNING,19.58,-0.26,-1.31%,52.29,19.18,2.65 K,0.0,36.09,36.09 Cr
194,SERT,Service Industries Textiles Limited,TEXTILE SPINNING,25.73,-1.23,-4.56%,78.3,10.11,2.85 K,0.0,35.48,35.48 Cr
195,ICCI,ICC Industries Limited,TEXTILE WEAVING,11.76,-0.25,-2.08%,19.91,8.61,6.83 K,0.0,35.28,35.28 Cr
196,AKDHL,AKD Hospitality Limited,MISCELLANEOUS,138.5,-15.29,-9.94%,232.89,119.73,16.46 K,0.0,34.73,34.73 Cr
197,SARC,Sardar Chemical Industries Limited,CHEMICAL,53.2,-0.79,-1.46%,102.9,27.05,808,0.0,31.92,31.92 Cr
198,FIBLM,First IBL Modaraba,MODARABAS,11.21,-0.03,-0.27%,22.24,2.55,33.91 K,0.0,24.31,24.31 Cr
199,DAAG,Data Agro Limited,CHEMICAL,59.41,5.35,9.90%,134.68,52.0,44.11 K,0.0,23.76,23.76 Cr
200,BUXL,Buxly Paints Limited,CHEMICAL,162.08,-2.93,-1.78%,229.44,96.0,162,0.0,23.34,23.34 Cr
201,ANTM,AN Textile Mills Limited,TEXTILE COMPOSITE,23.06,0.0,0%,47.75,9.02,360,0.0,22.28,22.28 Cr
202,STML,Shams Textile Mills Limited,TEXTILE COMPOSITE,25.54,0.0,0%,47.75,21.5,51,0.0,22.07,22.07 Cr
203,HAEL,Hala Enterprises Limited,TEXTILE COMPOSITE,15.84,-0.57,-3.47%,35.42,9.18,5.67 K,0.0,20.59,20.59 Cr
204,IDSM,Ideal Spinning Mills Limited,TEXTILE SPINNING,19.13,0.0,0%,41.9,11.0,55,0.0,18.98,18.98 Cr
205,FECM,First Elite Capital Modaraba,MODARABAS,15.85,-1.51,-8.70%,57.06,11.25,13.7 K,0.0,17.97,17.97 Cr
206,FPJM,First Punjab Modaraba,MODARABAS,5.09,-0.11,-2.12%,12.46,2.17,30.08 K,0.0,17.32,17.32 Cr
207,LEUL,Leather Up Limited,LEATHER & TANNERIES,28.83,0.81,2.89%,72.68,22.11,5.39 K,0.0,17.3,17.3 Cr
208,FFLM,First Fidelity Leasing Modaraba,MODARABAS,6.5,0.44,7.26%,17.55,1.55,7.76 K,0.0,17.17,17.17 Cr
209,ELCM,Elahi Cotton Mills Limited,TEXTILE SPINNING,131.0,0.0,0%,315.95,102.26,1,0.0,17.03,17.03 Cr
210,FPRM,First Paramount Modaraba,MODARABAS,11.7,0.0,0%,16.99,6.5,7,0.0,16.13,16.13 Cr
211,BFMOD,B.F. Modaraba,MODARABAS,18.15,1.65,10%,38.84,6.22,2 Lac,0.0,13.64,13.64 Cr
212,FANM,First Al-Noor Modaraba,MODARABAS,5.56,0.06,1.09%,10.83,2.22,9.84 K,0.0,12.84,12.84 Cr
