rank,symbol,price,chg,chg_pct,high_52w,low_52w,volume,weight,market_cap_cr,market_cap_raw
59,PSEL,845.53,16.53,1.99%,1635.0,760.0,138,0.79,2750.02,2750.02 Cr
60,NRL,337.12,-5.35,-1.56%,477.45,157.01,9.87 Lac,0.27,2695.83,2695.83 Cr
61,GHNI,619.77,9.85,1.62%,1030.0,583.25,3.29 Lac,0.28,2640.77,2640.77 Cr
62,SAPT,1210.64,0.0,0%,1564.29,1001.0,5,0.08,2625.85,2625.85 Cr
63,PIBTL,14.47,-0.02,-0.14%,22.97,6.89,97.2 Lac,0.35,2584.48,2584.48 Cr
64,TGL,138.88,-0.31,-0.22%,291.5,128.0,32.9 K,0.29,2391.06,2391.06 Cr
65,POWER,17.62,-0.44,-2.44%,22.24,11.71,8.99 Lac,0.28,2273.9,2273.9 Cr
66,HCAR,159.15,0.52,0.33%,321.0,147.5,40.99 K,0.14,2272.66,2272.66 Cr
67,STYLERS,45.92,1.87,4.25%,61.12,33.66,2.58 K,0.03,2244.7,2244.7 Cr
68,GLPL,700.0,0.0,0%,725.0,132.45,16,0.07,2231.04,2231.04 Cr
69,PRL,34.2,-0.56,-1.61%,40.93,22.03,86.17 Lac,0.24,2154.6,2154.6 Cr
70,MUGHAL,61.94,-0.04,-0.07%,113.99,52.0,5.28 Lac,0.19,2078.92,2078.92 Cr
71,PAKOXY,229.6,-5.3,-2.26%,356.68,127.0,2.03 K,0.15,2000.37,2000.37 Cr
72,SSGC,21.71,0.62,2.94%,47.45,19.02,77.02 Lac,0.22,1912.47,1912.47 Cr
73,INIL,142.89,-1.8,-1.24%,249.0,119.99,11.03 K,0.26,1884.46,1884.46 Cr
74,IPAK,25.59,0.91,3.69%,32.49,17.8,1.48 Lac,0.17,1881.4,1881.4 Cr
75,AGTL,320.66,0.66,0.21%,504.96,288.0,7.77 K,0.04,1858.68,1858.68 Cr
76,GWLC,45.36,0.04,0.09%,77.96,32.0,3.68 Lac,0.06,1815.64,1815.64 Cr
77,JKSM,172.21,0.0,0%,340.05,51.0,11,0.03,1762.01,1762.01 Cr
78,GAL,303.77,0.13,0.04%,633.0,291.0,1.52 Lac,0.21,1731.56,1731.56 Cr
79,SGF,80.8,4.54,5.95%,141.89,67.0,2.55 Lac,0.13,1668.26,1668.26 Cr
80,CPHL,72.61,-0.43,-0.59%,105.31,60.5,4.79 Lac,0.25,1658.86,1658.86 Cr
81,SITC,751.03,-12.96,-1.70%,1060.0,350.0,11.62 K,0.17,1609.41,1609.41 Cr
82,FML,39.05,0.0,0%,93.05,34.05,348,0.05,1559.69,1559.69 Cr
83,GCIL,27.28,0.37,1.38%,39.87,13.75,11.08 Lac,0.19,1556.19,1556.19 Cr
84,AABS,876.93,28.94,3.41%,1150.0,680.0,521,0.05,1522.55,1522.55 Cr
85,FEROZ,339.15,3.83,1.14%,475.0,242.33,2.52 K,0.16,1474.25,1474.25 Cr
86,FCL,21.02,0.08,0.38%,28.56,18.51,5.29 Lac,0.1,1354.9,1354.9 Cr
87,GATM,17.93,-0.21,-1.16%,40.7,16.5,6.51 Lac,0.1,1326.93,1326.93 Cr
88,AVN,29.99,0.03,0.10%,54.3,26.5,3.74 Lac,0.14,1282.0,1282 Cr
89,MACTER,271.95,-0.34,-0.13%,621.82,255.1,7.39 K,0.13,1245.83,1245.83 Cr
90,ARPL,345.22,5.22,1.54%,535.0,325.0,1.94 K,0.09,1193.2,1193.2 Cr
91,ICL,118.59,1.36,1.16%,176.0,59.11,88.57 K,0.18,1185.9,1185.9 Cr
92,BFBIO,130.39,-1.3,-0.99%,194.9,117.0,1.11 Lac,0.11,1151.78,1151.78 Cr
93,BBFL,36.49,-0.54,-1.46%,57.35,34.0,1.55 Lac,0.12,1090.71,1090.71 Cr
94,CEPB,25.76,-0.02,-0.08%,46.7,20.25,1.29 Lac,0.09,1034.81,1034.81 Cr
95,TICL,669.97,-14.52,-2.12%,839.98,288.54,96,0.0,1006.51,1006.51 Cr
96,BFAGRO,32.08,0.11,0.34%,49.25,23.55,66.7 K,0.08,994.45,994.45 Cr
97,HABSM,69.91,1.42,2.07%,96.0,59.1,2.11 Lac,0.09,943.78,943.78 Cr
98,NETSOL,102.54,0.34,0.33%,168.6,87.66,81.82 K,0.08,921.19,921.19 Cr
99,ASL,9.82,0.0,0%,15.94,8.51,11.2 Lac,0.1,914.03,914.03 Cr
100,TREET,21.81,0.5,2.35%,37.0,15.51,30.07 Lac,0.12,809.21,809.21 Cr
