symbol,Points,Weight,Cur.,Chg,Chg %,52WK High,52WK Low,Vol,Market Cap
,-0.89,0.25,72.61,-0.43,-0.59%,105.31,60.5,4.79 Lac,1658.86 Cr
CPHL,,,,,,,,,
,,,,,,,,,
,0.15,0.06,68.29,0.28,0.41%,143,64.79,2.38 K,335.27 Cr
CPPL,,,,,,,,,
,,,,,,,,,
,6.92,0.12,63.45,5.77,10%,74.28,11.76,2.55 Lac,634.5 Cr
CRTM,,,,,,,,,
,,,,,,,,,
,1.24,0.1,92.83,1.92,2.11%,143.5,78.25,2.84 Lac,720.66 Cr
CSAP,,,,,,,,,
,,,,,,,,,
,0.1,0,59.41,5.35,9.90%,134.68,52,44.11 K,23.76 Cr
DAAG,,,,,,,,,
,,,,,,,,,
,0,0,46.5,0,0%,83.9,42.75,118,50.05 Cr
DADX,,,,,,,,,
,,,,,,,,,
,0.19,0.04,7.58,0.06,0.80%,16.6,6.61,5.44 Lac,366.96 Cr
DCL,,,,,,,,,
,,,,,,,,,
,-0.4,0.61,36.16,-0.04,-0.11%,41.8,22.98,2.87 Lac,8040.9 Cr
DCR,,,,,,,,,
,,,,,,,,,
,7.27,1.03,154.74,1.8,1.18%,275.75,116.5,33.35 Lac,6779.45 Cr
DGKC,,,,,,,,,
,,,,,,,,,
,0.37,0.01,74.5,6.77,10%,91.87,18,25.37 K,67.05 Cr
DIIL,,,,,,,,,
,,,,,,,,,
,0.74,0.01,51.58,4.69,10%,119.88,41.36,2.29 K,270.62 Cr
DINT,,,,,,,,,
,,,,,,,,,
D,0,0,108.71,0,0%,351.9,34.26,121,33.18 Cr
DMC,,,,,,,,,
,,,,,,,,,
,-0.57,0.04,14.28,-0.34,-2.33%,28.07,11.5,2.98 Lac,451.76 Cr
DNCC,,,,,,,,,
,,,,,,,,,
,0.05,0.04,27.17,0.05,0.18%,41,22.2,42.21 K,475.56 Cr
DOL,,,,,,,,,
,,,,,,,,,
,0,0.1,271.08,0,0%,353.3,184.5,1,511.59 Cr
DYNO,,,,,,,,,
,,,,,,,,,
,0.87,0.04,40.09,1.28,3.30%,98.46,28.5,1.46 Lac,193.47 Cr
ECOP,,,,,,,,,
,,,,,,,,,
,-15.52,3.57,194.71,-1.44,-0.73%,263.3,145.25,17.72 Lac,25999.61 Cr
EFERT,,,,,,,,,
,,,,,,,,,
,0,0,131,0,0%,315.95,102.26,1,17.03 Cr
ELCM,,,,,,,,,
,,,,,,,,,
,0.02,0.01,105.8,0.3,0.28%,138,99,10,115.85 Cr
ELSM,,,,,,,,,
,,,,,,,,,
,-0.09,0.01,35.1,-0.48,-1.35%,98.89,29.5,3.08 K,122.85 Cr
EMCO,,,,,,,,,
,,,,,,,,,
,-8.27,7.7,262.37,-0.47,-0.18%,302.5,139,14.19 Lac,31595.43 Cr
ENGROH,,,,,,,,,
,,,,,,,,,
,-3.18,0.24,33.98,-0.79,-2.27%,39.32,25.5,28.69 Lac,3088.52 Cr
EPCL,,,,,,,,,
,,,,,,,,,
,-0.42,0.07,24.6,-0.24,-0.97%,39.6,22.3,5.24 Lac,796.55 Cr
EPQL,,,,,,,,,
,,,,,,,,,
,-0.15,0.02,410.36,-4.32,-1.04%,951,365,4.8 K,318.79 Cr
EXIDE,,,,,,,,,
,,,,,,,,,
,2.84,1.13,81.71,0.34,0.42%,105.49,40.05,9.09 Lac,12401.1 Cr
FABL,,,,,,,,,
,,,,,,,,,
,0.01,0,5.56,0.06,1.09%,10.83,2.22,9.84 K,12.84 Cr
FANM,,,,,,,,,
,,,,,,,,,
,-4.26,1.21,126.23,-0.75,-0.59%,192.8,70,4.9 Lac,26508.3 Cr
FATIMA,,,,,,,,,
,,,,,,,,,
