symbol,Points,Weight,Cur.,Chg,Chg %,52WK High,52WK Low,Vol,Market Cap
,0.5,0.05,24.63,0.41,1.69%,94,23,1.88 Lac,538.51 Cr
PREMA,,,,,,,,,
,,,,,,,,,
,-2.27,0.24,34.2,-0.56,-1.61%,40.93,22.03,86.17 Lac,2154.6 Cr
PRL,,,,,,,,,
,,,,,,,,,
,9.42,0.79,845.53,16.53,1.99%,1635,760,138,2750.02 Cr
PSEL,,,,,,,,,
,,,,,,,,,
,-4.45,2.41,336.32,-1.05,-0.31%,506.75,300,11.81 Lac,15789.33 Cr
PSO,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
PSYL,,,,,,,,,
,,,,,,,,,
,-0.64,0.06,48.13,-0.85,-1.74%,65.88,32.86,16.05 K,808.58 Cr
PTL,,,,,,,,,
,,,,,,,,,
,-0.48,0.05,22.83,-0.39,-1.68%,46.06,5.5,22.99 Lac,224.79 Cr
QUICE,,,,,,,,,
,,,,,,,,,
,-0.35,0.01,360.93,-19.07,-5.02%,745.59,341,275,384.46 Cr
RCML,,,,,,,,,
,,,,,,,,,
,0.02,0,26.04,0.48,1.88%,40.4,14.9,2.46 K,128.36 Cr
REDCO,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
REWM,,,,,,,,,
,,,,,,,,,
,1.9,0.25,9041.83,111.58,1.25%,13565.64,8251.5,46,8351.4 Cr
RMPL,,,,,,,,,
,,,,,,,,,
,-0.12,0.02,13.06,-0.15,-1.14%,25.05,12,15.67 K,185.32 Cr
RPL,,,,,,,,,
,,,,,,,,,
,0,0.01,29.13,0,0%,42.79,12.1,1 Lac,99.24 Cr
RUPL,,,,,,,,,
,,,,,,,,,
,-0.02,0.01,25.28,-0.08,-0.32%,52.5,7.85,6.8 K,66.77 Cr
SAIF,,,,,,,,,
,,,,,,,,,
,-0.57,0.02,112,-5.01,-4.28%,135.92,41,1.4 K,133.8 Cr
SANSM,,,,,,,,,
,,,,,,,,,
,0,0.08,1210.64,0,0%,1564.29,1001,5,2625.85 Cr
SAPT,,,,,,,,,
,,,,,,,,,
,-0.04,0,53.2,-0.79,-1.46%,102.9,27.05,808,31.92 Cr
SARC,,,,,,,,,
,,,,,,,,,
,-1.5,1.05,1628.59,-3.91,-0.24%,2487,1053.99,4.85 Lac,9844.17 Cr
SAZEW,,,,,,,,,
,,,,,,,,,
,0.08,0.01,914.31,23.01,2.58%,1020,229.3,582,356.58 Cr
SCL,,,,,,,,,
,,,,,,,,,
,-0.8,0.75,83.42,-0.15,-0.18%,137.44,60.66,12.42 Lac,4906.92 Cr
SEARL,,,,,,,,,
,,,,,,,,,
,0.15,0.01,25.24,0.75,3.06%,45.56,9.3,721,48.19 Cr
SEL,,,,,,,,,
,,,,,,,,,
,-0.04,0,25.73,-1.23,-4.56%,78.3,10.11,2.85 K,35.48 Cr
SERT,,,,,,,,,
,,,,,,,,,
,4.51,0.13,80.8,4.54,5.95%,141.89,67,2.55 Lac,1668.26 Cr
SGF,,,,,,,,,
,,,,,,,,,
,0.41,0.01,22.34,1.55,7.46%,40,6.45,9.62 Lac,39.84 Cr
SGPL,,,,,,,,,
,,,,,,,,,
,-0.04,0,35.06,-3.02,-7.93%,96.58,26.04,1.62 K,61.83 Cr
SHCM,,,,,,,,,
,,,,,,,,,
,0.17,0.01,40.29,1.24,3.18%,90,18.5,1.65 K,66.88 Cr
SHDT,,,,,,,,,
,,,,,,,,,
,0.25,0.03,215.11,3.47,1.64%,308.81,121.99,522,207.86 Cr
SHEZ,,,,,,,,,
,,,,,,,,,
,0,0.39,450,0.01,0%,615.28,357.06,2.77 K,2844.65 Cr
SHFA,,,,,,,,,
,,,,,,,,,
,2.03,0.08,366.26,14.53,4.13%,549,334.67,251,773.49 Cr
SHSML,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
SIEM,,,,,,,,,
,,,,,,,,,
,0,0,18.48,0,0%,41.25,9.72,101,83.16 Cr
SINDM,,,,,,,,,
,,,,,,,,,
,-1.74,0.17,751.03,-12.96,-1.70%,1060,350,11.62 K,1609.41 Cr
SITC,,,,,,,,,
,,,,,,,,,
,0.08,0.04,13.84,0.04,0.29%,26.5,12.7,3.04 Lac,583.76 Cr
SLGL,,,,,,,,,
,,,,,,,,,
,0,0.01,39.99,-0.01,-0.03%,57.3,13.61,669,99.97 Cr
SMCPL,,,,,,,,,
,,,,,,,,,
,0,0,0,0,0%,0,0,0,0
SNAI,,,,,,,,,
,,,,,,,,,
,-0.73,0.77,88.52,-0.14,-0.16%,142.6,83.2,29.09 Lac,5614.09 Cr
SNGP,,,,,,,,,
,,,,,,,,,
,1.03,0.05,37.87,1.36,3.73%,83.5,31.05,3.77 Lac,756.4 Cr
SPEL,,,,,,,,,
,,,,,,,,,
,0.08,0.06,9.82,0.02,0.20%,14.15,8.01,1.75 Lac,379.52 Cr
SPWL,,,,,,,,,
,,,,,,,,,
S,0.01,0,16.21,0.09,0.56%,21,15.26,10.49 K,53.49 Cr
SRR,,,,,,,,,
,,,,,,,,,
,3.91,0.22,21.71,0.62,2.94%,47.45,19.02,77.02 Lac,1912.47 Cr
SSGC,,,,,,,,,
,,,,,,,,,
,0.08,0.02,398.48,2.99,0.76%,1179.75,138,12.79 K,225.48 Cr
SSOM,,,,,,,,,
,,,,,,,,,
,0,0.04,9.95,0,0%,19.78,8.55,9.63 Lac,238.12 Cr
STCL,,,,,,,,,
,,,,,,,,,
,0.06,0,97.79,2.15,2.25%,123,59.5,1.11 K,94.47 Cr
STJT,,,,,,,,,
,,,,,,,,,
S,-7.7,0.13,98.39,-10.93,-10%,2231.81,98.39,12.8 K,1058.87 Cr
STL,,,,,,,,,
,,,,,,,,,
,0,0,25.54,0,0%,47.75,21.5,51,22.07 Cr
STML,,,,,,,,,
,,,,,,,,,
,0.87,0.03,45.92,1.87,4.25%,61.12,33.66,2.58 K,2244.7 Cr
STYLERS,,,,,,,,,
,,,,,,,,,
,0.73,0.03,108.4,3.99,3.82%,161.3,88,10.69 K,529.1 Cr
SURC,,,,,,,,,
,,,,,,,,,
,-0.16,0.04,10.2,-0.07,-0.68%,17.04,9.01,6.11 Lac,290.95 Cr
SYM,,,,,,,,,
,,,,,,,,,
,32.66,3.78,140.26,2,1.45%,577,100,20.29 Lac,20665.97 Cr
SYS,,,,,,,,,
,,,,,,,,,
S,0,0,49.55,0,0%,85.5,27.1,36,89.05 Cr
SZTM,,,,,,,,,
,,,,,,,,,
T,0.11,0.03,88.57,0.54,0.61%,311,34.05,9.54 K,495.94 Cr
TATM,,,,,,,,,
,,,,,,,,,
T,0.24,0.06,9.55,0.06,0.63%,15.15,8,3.69 Lac,1033.88 Cr
TBL,,,,,,,,,
,,,,,,,,,
T,-0.04,0.02,26.18,-0.1,-0.38%,31.87,11.9,2.23 K,173.33 Cr
TCORP,,,,,,,,,
,,,,,,,,,
T,-0.93,0.07,7.41,-0.16,-2.11%,14.09,5.42,50.9 Lac,250.92 Cr
TELE,,,,,,,,,
,,,,,,,,,
,-0.38,0.29,138.88,-0.31,-0.22%,291.5,128,32.9 K,2391.06 Cr
TGL,,,,,,,,,
,,,,,,,,,
,-0.06,0,669.97,-14.52,-2.12%,839.98,288.54,96,1006.51 Cr
TICL,,,,,,,,,
,,,,,,,,,
,1.55,0.1,31.75,0.77,2.49%,75.85,23.57,41.62 Lac,623.38 Cr
TOMCL,,,,,,,,,
,,,,,,,,,
T,0.04,0.01,99.5,0.67,0.68%,207.87,92.5,3.64 K,169.15 Cr
TOWL,,,,,,,,,
,,,,,,,,,
,-0.42,0.07,6.45,-0.07,-1.07%,13.55,6,12.97 Lac,361.9 Cr
TPLP,,,,,,,,,
,,,,,,,,,
T,-6.05,0.28,7.67,-0.29,-3.64%,18.39,7.5,42.16 K,1407.44 Cr
TPLRF1,,,,,,,,,
,,,,,,,,,
,0.19,0.02,8.15,0.14,1.75%,16.59,4.65,7.14 Lac,152.62 Cr
TPLT,,,,,,,,,
,,,,,,,,,
,1.73,0.12,21.81,0.5,2.35%,37,15.51,30.07 Lac,809.21 Cr
TREET,,,,,,,,,
,,,,,,,,,
T,-0.14,0.01,15.09,-0.32,-2.08%,71.65,3.85,3.59 Lac,44.97 Cr
TRSM,,,,,,,,,
,,,,,,,,,
U,-0.13,0,21.92,-1.63,-6.92%,34.5,19.2,15.54 K,201.23 Cr
UBDL,,,,,,,,,
,,,,,,,,,
U,0,0,4.16,0.01,0.24%,8.3,2.26,4.2 K,9.83 Cr
UCAPM,,,,,,,,,
,,,,,,,,,
U,0,0.01,16.99,0,0%,24.93,6.1,15.87 K,59.67 Cr
UDLI,,,,,,,,,
,,,,,,,,,
U,-0.11,0.02,110.65,-1.14,-1.02%,168.99,53,2.44 K,390.28 Cr
UDPL,,,,,,,,,
,,,,,,,,,
,-1.31,0.36,24801.03,-154.59,-0.62%,36971.47,20898,52,15798.09 Cr
UPFL,,,,,,,,,
,,,,,,,,,
W,0.03,0.17,176.74,0.05,0.03%,260,127,15.22 K,3782.67 Cr
WAFI,,,,,,,,,
,,,,,,,,,
,0,0.02,243.83,0,0%,435,196.02,104,219.45 Cr
WAHN,,,,,,,,,
,,,,,,,,,
W,0.16,0.01,4.49,0.11,2.51%,5.38,1.5,1.51 Lac,58.1 Cr
WASL,,,,,,,,,
,,,,,,,,,
,-0.59,0.05,9.72,-0.18,-1.82%,16.95,6.46,28.09 Lac,273.53 Cr
WAVES,,,,,,,,,
,,,,,,,,,
Y,-0.04,0.01,4.04,-0.03,-0.74%,7.17,2.9,1.12 Lac,54.94 Cr
YOUW,,,,,,,,,
,,,,,,,,,
,0.03,0.01,40.34,0.29,0.72%,161,23.01,7.58 K,772.19 Cr
ZAHID,,,,,,,,,
,,,,,,,,,
Z,-0.44,0.08,38.03,-0.37,-0.96%,79.5,13.27,3.73 Lac,998.29 Cr
ZAL,,,,,,,,,
,,,,,,,,,
Z,0.03,0,351.32,4.9,1.41%,722,211,1.77 K,215.1 Cr
ZIL,,,,,,,,,
,,,,,,,,,
,0.05,0,10.95,0.31,2.91%,21,9.75,12.07 K,65.07 Cr
ZTL,,,,,,,,,
